FID	IID	Fhom
0	NA18620	0.1211
0	NA18621	0.122
0	NA18622	0.1014
0	NA18623	0.1064
0	NA18624	0.1204
0	NA18626	0.07475
0	NA18627	0.09172
0	NA18628	0.06349
0	NA18630	0.1013
0	NA18631	0.08299
0	NA18632	0.1021
0	NA18633	0.1225
0	NA18634	0.09407
0	NA18635	0.1013
0	NA18636	0.1072
0	NA18637	0.09631
0	NA18638	0.09072
0	NA18639	0.06909
0	NA18640	0.07375
0	NA18641	0.05643
0	NA18642	0.08242
0	NA18643	0.08549
0	NA18645	0.06875
0	NA18647	0.07491
0	NA18740	0.05643
0	NA18745	0.07969
0	NA18747	0.0734
0	NA18748	0.06017
0	NA18749	0.05276
0	NA18757	0.04718
0	NA18853	0.005659
0	NA18856	-0.00052
0	NA18858	0.01366
0	NA18861	0.01832
0	NA18867	0.001816
0	NA18868	-0.02049
0	NA18870	0.02231
0	NA18871	0.001982
0	NA18873	0.01618
0	NA18874	0.01752
0	NA18907	0.01983
0	NA18908	0.004423
0	NA18909	0.01613
0	NA18910	0.003594
0	NA18912	0.03936
0	NA18916	0.0179
0	NA18917	0.01974
0	NA18923	0.0196
0	NA18924	0.0275
0	NA18933	0.02322
0	NA18934	0.02836
0	NA18939	0.05969
0	NA18940	0.07885
0	NA18941	0.08153
0	NA18942	0.1009
0	NA18943	0.07782
0	NA18944	0.09716
0	NA18945	0.1042
0	NA18946	0.07535
0	NA18947	0.06977
0	NA18948	0.05848
0	NA18949	0.08545
0	NA18950	0.059
0	NA18951	0.08132
0	NA18952	0.09714
0	NA18953	0.104
0	NA18954	0.05047
0	NA18956	0.05136
0	NA18957	0.05271
0	NA18959	0.09188
0	NA18960	0.0922
0	NA18961	0.07895
0	NA18962	0.0385
0	NA18963	0.05574
0	NA18964	0.07776
0	NA18965	0.07857
0	NA18966	0.06263
0	NA18968	0.1361
0	NA18971	0.122
0	NA18973	0.08578
0	NA18974	0.1228
0	NA18975	0.1243
0	NA18976	0.1304
0	NA18977	0.08924
0	NA18978	0.04613
0	NA18980	0.09458
0	NA18981	0.1213
0	NA18982	0.05658
0	NA18983	0.05426
0	NA18984	0.09422
0	NA18985	0.09978
0	NA18986	0.04641
0	NA18987	0.1203
0	NA18988	0.05787
0	NA18989	0.06902
0	NA18990	0.09322
0	NA18992	0.1073
0	NA18994	0.0651
0	NA18995	0.06976
0	NA18998	0.04081
0	NA18999	0.08448
0	NA19000	0.03844
0	NA19002	0.07035
0	NA19003	0.09197
0	NA19004	0.04875
0	NA19005	0.04204
0	NA19007	0.07435
0	NA19009	0.07276
0	NA19010	0.06866
0	NA19012	0.1493
0	NA19020	-0.02789
0	NA19028	-0.03615
0	NA19035	-0.02836
0	NA19036	-0.03633
0	NA19038	-0.02522
0	NA19041	-0.02581
0	NA19044	-0.01803
0	NA19046	-0.03738
0	NA19054	0.08576
0	NA19055	0.08059
0	NA19056	0.08251
0	NA19057	0.08451
0	NA19058	0.07826
0	NA19059	0.08228
0	NA19060	0.09015
0	NA19062	0.08465
0	NA19063	0.07731
0	NA19064	0.06191
0	NA19065	0.07954
0	NA19066	0.06278
0	NA19067	0.0815
0	NA19068	0.04025
0	NA19070	0.07405
0	NA19072	0.07031
0	NA19074	0.09901
0	NA19075	0.09288
0	NA19076	0.1106
0	NA19077	0.09248
0	NA19078	0.09527
0	NA19079	0.08576
0	NA19080	0.12
0	NA19081	0.1079
0	NA19082	0.08958
